"Date de déclaration","En laboratoire","Par lien épidémiologique","Cas actifs"
"2020-02-24 00:00:00",0,0,0
"2020-02-25 00:00:00",1,0,1
"2020-02-26 00:00:00",1,0,1
"2020-02-27 00:00:00",1,0,1
"2020-02-28 00:00:00",2,0,2
"2020-02-29 00:00:00",2,0,2
"2020-03-01 00:00:00",2,1,3
"2020-03-02 00:00:00",5,1,6
"2020-03-03 00:00:00",7,1,8
"2020-03-04 00:00:00",9,1,10
"2020-03-05 00:00:00",10,1,11
"2020-03-06 00:00:00",12,1,13
"2020-03-07 00:00:00",12,1,13
"2020-03-08 00:00:00",13,1,14
"2020-03-09 00:00:00",14,1,15
"2020-03-10 00:00:00",15,2,16
"2020-03-11 00:00:00",25,2,26
"2020-03-12 00:00:00",31,2,32
"2020-03-13 00:00:00",35,2,36
"2020-03-14 00:00:00",54,2,55
"2020-03-15 00:00:00",67,2,67
"2020-03-16 00:00:00",84,2,83
"2020-03-17 00:00:00",128,2,127
"2020-03-18 00:00:00",168,3,167
"2020-03-19 00:00:00",241,4,239
"2020-03-20 00:00:00",363,12,367
"2020-03-21 00:00:00",547,14,549
"2020-03-22 00:00:00",784,15,781
"2020-03-23 00:00:00",1122,23,1113
"2020-03-24 00:00:00",1381,33,1360
"2020-03-25 00:00:00",1743,40,1692
"2020-03-26 00:00:00",2104,45,2024
"2020-03-27 00:00:00",2553,48,2432
"2020-03-28 00:00:00",2961,56,2781
"2020-03-29 00:00:00",3515,71,3283
"2020-03-30 00:00:00",4050,115,3778
"2020-03-31 00:00:00",4731,165,4379
"2020-04-01 00:00:00",5376,221,4943
"2020-04-02 00:00:00",6179,295,5656
"2020-04-03 00:00:00",6872,377,6203
"2020-04-04 00:00:00",7567,488,6676
"2020-04-05 00:00:00",8118,573,6950
"2020-04-06 00:00:00",8909,661,7417
"2020-04-07 00:00:00",9623,738,7781
"2020-04-08 00:00:00",10224,825,7876
"2020-04-09 00:00:00",10870,928,8118
"2020-04-10 00:00:00",11423,1014,8122
"2020-04-11 00:00:00",12010,1090,8190
"2020-04-12 00:00:00",12721,1173,8417
"2020-04-13 00:00:00",13587,1271,8638
"2020-04-14 00:00:00",14418,1399,8745
"2020-04-15 00:00:00",15288,1630,9028
"2020-04-16 00:00:00",16137,1747,9192
"2020-04-17 00:00:00",16995,1915,9460
"2020-04-18 00:00:00",17545,2028,9448
"2020-04-19 00:00:00",18272,2123,9646
"2020-04-20 00:00:00",19025,2281,9805
"2020-04-21 00:00:00",19714,2396,9934
"2020-04-22 00:00:00",20460,2536,10095
"2020-04-23 00:00:00",21216,2688,10336
"2020-04-24 00:00:00",21942,2822,10506
"2020-04-25 00:00:00",22605,2917,10607
"2020-04-26 00:00:00",23131,3006,10641
"2020-04-27 00:00:00",23918,3131,10799
"2020-04-28 00:00:00",24710,3260,10930
"2020-04-29 00:00:00",25489,3383,10896
"2020-04-30 00:00:00",26379,3495,11067
"2020-05-01 00:00:00",27315,3614,11280
"2020-05-02 00:00:00",28124,3703,11458
"2020-05-03 00:00:00",28842,3784,11598
"2020-05-04 00:00:00",29599,3894,11692
