"Date de déclaration du cas","En laboratoire","Par lien épidémiologique","Moyenne mobile (7 jours)"
"2020-02-24 00:00:00",0,0,0.14
"2020-02-25 00:00:00",1,0,0.29
"2020-02-26 00:00:00",0,0,0.29
"2020-02-27 00:00:00",0,0,0.43
"2020-02-28 00:00:00",1,0,0.86
"2020-02-29 00:00:00",0,0,1
"2020-03-01 00:00:00",0,1,1.29
"2020-03-02 00:00:00",3,0,1.43
"2020-03-03 00:00:00",2,0,1.57
"2020-03-04 00:00:00",2,0,1.57
"2020-03-05 00:00:00",1,0,1.57
"2020-03-06 00:00:00",2,0,1.29
"2020-03-07 00:00:00",0,0,1.29
"2020-03-08 00:00:00",1,0,2.43
"2020-03-09 00:00:00",1,0,3.14
"2020-03-10 00:00:00",1,1,3.43
"2020-03-11 00:00:00",10,0,6.14
"2020-03-12 00:00:00",6,0,7.86
"2020-03-13 00:00:00",4,0,10.14
"2020-03-14 00:00:00",19,0,16.14
"2020-03-15 00:00:00",13,0,20.57
"2020-03-16 00:00:00",17,0,30.29
"2020-03-17 00:00:00",44,0,48.29
"2020-03-18 00:00:00",40,1,72.14
"2020-03-19 00:00:00",73,1,104.29
"2020-03-20 00:00:00",122,8,151.29
"2020-03-21 00:00:00",184,2,183.43
"2020-03-22 00:00:00",237,1,230.29
"2020-03-23 00:00:00",338,8,272
"2020-03-24 00:00:00",259,10,318
"2020-03-25 00:00:00",362,7,350.86
"2020-03-26 00:00:00",361,5,398.14
"2020-03-27 00:00:00",449,3,431.43
"2020-03-28 00:00:00",408,8,497.43
"2020-03-29 00:00:00",554,15,544.86
"2020-03-30 00:00:00",535,44,617.86
"2020-03-31 00:00:00",681,50,664
"2020-04-01 00:00:00",645,56,719.71
"2020-04-02 00:00:00",803,74,729.29
"2020-04-03 00:00:00",693,82,772.14
"2020-04-04 00:00:00",695,111,780.71
"2020-04-05 00:00:00",551,85,778.86
"2020-04-06 00:00:00",791,88,760.57
"2020-04-07 00:00:00",714,77,741.14
"2020-04-08 00:00:00",601,87,720.71
